OCC_YEAR,OCC_MONTH,Found,Stolen
2014,January,1,41
2014,February,0,23
2014,March,1,54
2014,April,1,136
2014,May,2,297
2014,June,7,519
2014,July,5,516
2014,August,6,411
2014,September,6,349
2014,October,7,241
2014,November,0,111
2014,December,1,93
2015,January,0,61
2015,February,0,25
2015,March,1,92
2015,April,5,240
2015,May,4,394
2015,June,6,385
2015,July,5,462
2015,August,6,420
2015,September,5,375
2015,October,8,247
2015,November,3,190
2015,December,6,123
2016,January,4,88
2016,February,5,98
2016,March,1,127
2016,April,3,211
2016,May,5,380
2016,June,5,468
2016,July,7,478
2016,August,9,504
2016,September,6,480
2016,October,2,308
2016,November,1,216
2016,December,1,97
2017,January,14,70
2017,February,0,82
2017,March,0,112
2017,April,1,241
2017,May,4,373
2017,June,1,471
2017,July,3,518
2017,August,3,467
2017,September,1,479
2017,October,5,411
2017,November,4,246
2017,December,5,91
2018,January,2,74
2018,February,0,85
2018,March,0,115
2018,April,1,184
2018,May,1,399
2018,June,3,556
2018,July,2,614
2018,August,4,574
2018,September,3,421
2018,October,16,341
2018,November,3,176
2018,December,2,113
2019,January,1,107
2019,February,1,56
2019,March,0,89
2019,April,3,164
2019,May,15,297
2019,June,4,438
2019,July,3,566
2019,August,2,495
2019,September,14,434
2019,October,14,363
2019,November,6,170
2019,December,7,98
2020,January,0,98
2020,February,0,106
2020,March,2,158
2020,April,1,208
2020,May,7,261
2020,June,7,447
2020,July,6,553
2020,August,9,514
2020,September,4,446
2020,October,5,318
2020,November,1,181
2020,December,1,78
2021,January,2,90
2021,February,2,63
2021,March,0,129
2021,April,3,203
2021,May,9,306
2021,June,4,370
2021,July,4,381
2021,August,1,398
2021,September,2,360
2021,October,2,277
2021,November,5,173
2021,December,0,82
2022,January,1,43
2022,February,2,49
2022,March,0,109
2022,April,2,176
2022,May,1,311
2022,June,2,379
2022,July,10,445
2022,August,3,413
2022,September,4,321
2022,October,0,297
2022,November,4,122
2022,December,0,66
2023,January,1,73
2023,February,3,89
2023,March,1,84
2023,April,2,142
2023,May,1,239
2023,June,1,318
2023,July,2,428
2023,August,1,378
2023,September,4,376
2023,October,2,324
2023,November,2,168
2023,December,2,120
2024,January,1,95
2024,February,0,103
2024,March,2,109
2024,April,1,183
2024,May,3,286
2024,June,2,245
